注射用厄他培南,怡万之,ErtapenemforInjection,国字准字J20150480,Laboratoires Merck Sharp & Dohme-Chibret (Mirabel)
门冬胰岛素30注射液,诺和锐30特充,Insulin Aspart 30 Injection,,进口药品注册证号：S20140060 S20140061
注射用头孢曲松钠,罗氏芬,Ceftriaxone Sodium for Injection,,国药准字H10983036
注射用亚胺培南西司他丁钠,泰能,Imipenem and Cilastatn Sodium forlnjecton,进口药品注册证号：H20130347 (20mL) 国药准字J20080047（120mL）国药准字J20080046（20mL）进口药品注册证号：H20080070（120mL）H20080071（...,杭州默沙东制药有限公司
盐酸莫西沙星氯化钠注射液,拜复乐,Avelox (Moxifloxacin Hydrochloride and Sodium Chloride Injection),,进口药品注册证号H20090690
氯化钠注射液,氯化钠注射液,Sodium Chloride Injection,国药准字H20043271,中国大冢制药有限公司
甘油果糖氯化钠注射液,普甘,Glycerol Fructose and Sodium Chloride Injection,国药准字H20044418,山东洁晶药业有限公司
门冬胰岛素注射液,诺和锐,Insulin Aspart Injection,,进口药品注册证号：S20100050
氟康唑氯化钠注射液,大扶康,Fluconazole and Sodium Chloride Injection,进口药品注册证号：,辉瑞制药有限公司
盐酸胺碘酮注射液,可达龙,Amiodarone Hydrochloride injection,进口药品分装批准文号，国药准字J20070056,赛诺菲安万特（杭州）制药有限公司
注射用哌拉西林钠他唑巴坦钠,特治星,Tazocin (Piperacillin Sodium and Tazobactam Sodium for Injection),,分包装批准文号：国药准字J20150041
注射用阿奇霉素,希舒美,Azithromycin for Injection,,进口小包装注册证号：H20130830
注射用头孢哌酮钠舒巴坦钠,舒普深,Sulperazon (Cefoperazone Sodium and Sulbactam Sodium for Injection),国药准字H10960113,辉瑞制药有限公司
乳酸环丙沙星氯化钠注射液,西普乐,Ciprobay (Ciprofloxacin and Sodium Chloride Injection),【进口药品注册证号】H20090579：100ml：乳酸环丙沙星0.2g（以C17H18FN3O3）与氯化钠0.9g H20090580：200m1：乳酸环丙沙星0.4g（以C17H18FN3O3）与...,Bayer Schering Pharma AG
葡萄糖注射液,葡萄糖注射液,Glucose Injection,国药准字H20033556（100ml：10g）国药准字H20033557（100ml：5g）国药准字H11021108（250ml：12.5g）国药准字H11021107（250ml：25g）国药准...,北京费森尤斯卡比医药有限公司
